STATION,STATION_NAME,DATE,HPCP
COOP:317069,RALEIGH AIRPORT NC US,19520304 00:00,0.34
COOP:317069,RALEIGH AIRPORT NC US,19520304 01:00,0.43
COOP:317069,RALEIGH AIRPORT NC US,19520304 02:00,0.35
COOP:317069,RALEIGH AIRPORT NC US,19520304 03:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520304 04:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520304 05:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520304 06:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520304 07:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520304 08:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520304 09:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520310 21:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520310 22:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520310 23:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520311 00:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520311 02:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520311 03:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520311 04:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520311 05:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520311 06:00,0.42
COOP:317069,RALEIGH AIRPORT NC US,19520311 07:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 06:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 07:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 10:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 11:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 12:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 13:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520315 15:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520315 16:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520319 00:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520319 01:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520319 02:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520319 03:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520319 04:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520319 05:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520319 06:00,0.25
COOP:317069,RALEIGH AIRPORT NC US,19520323 08:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520323 10:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520324 02:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520324 03:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520324 06:00,0.24
COOP:317069,RALEIGH AIRPORT NC US,19520324 07:00,0.27
COOP:317069,RALEIGH AIRPORT NC US,19520324 08:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520324 09:00,0.17
COOP:317069,RALEIGH AIRPORT NC US,19520324 10:00,0.12
COOP:317069,RALEIGH AIRPORT NC US,19520324 11:00,0.16
COOP:317069,RALEIGH AIRPORT NC US,19520324 12:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520324 13:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520324 14:00,0.16
COOP:317069,RALEIGH AIRPORT NC US,19520324 15:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520324 16:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520324 17:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520324 18:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520401 01:00,0.00
COOP:317069,RALEIGH AIRPORT NC US,19520401 08:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520401 09:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520401 15:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520402 02:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520404 23:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520405 00:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520405 01:00,0.15
COOP:317069,RALEIGH AIRPORT NC US,19520405 02:00,0.25
COOP:317069,RALEIGH AIRPORT NC US,19520413 13:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520424 21:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520424 22:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520424 23:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520425 00:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520425 01:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 02:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 03:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 04:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 05:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 07:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 08:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 09:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520425 12:00,0.10
COOP:317069,RALEIGH AIRPORT NC US,19520425 13:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520425 14:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520425 15:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520425 16:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520425 17:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520425 18:00,0.12
COOP:317069,RALEIGH AIRPORT NC US,19520425 19:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520425 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520425 21:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520426 02:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520426 03:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520426 06:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520426 16:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520426 17:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520426 18:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520426 19:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520426 20:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520426 21:00,0.02
